service_id,date,exception_type
62_R,20250603,1
62_R,20250604,1
62_R,20250605,1
63_R,20250628,1
63_R,20250705,1
63_R,20250712,1
63_R,20250719,1
63_R,20250726,1
63_R,20250802,1
63_R,20250906,1
63_R,20250913,1
63_R,20250920,1
63_R,20250927,1
63_R,20251004,1
63_R,20251011,1
63_R,20251018,1
63_R,20251025,1
63_R,20251101,1
63_R,20251108,1
63_R,20251115,1
63_R,20251122,1
63_R,20251129,1
64_R,20250614,1
64_R,20250621,1
65_R,20250809,1
65_R,20250816,1
65_R,20250823,1
65_R,20250830,1
66_R,20250607,1
67_R,20250622,1
67_R,20250629,1
67_R,20250706,1
67_R,20250713,1
67_R,20250720,1
67_R,20250727,1
67_R,20250831,1
67_R,20250907,1
67_R,20250914,1
67_R,20250921,1
67_R,20250928,1
67_R,20251005,1
67_R,20251012,1
67_R,20251019,1
67_R,20251026,1
67_R,20251102,1
67_R,20251109,1
67_R,20251116,1
67_R,20251123,1
68_R,20250615,1
69_R,20250803,1
69_R,20250810,1
69_R,20250817,1
69_R,20250824,1
70_R,20250608,1
71_R,20250627,1
71_R,20250704,1
71_R,20250711,1
71_R,20250718,1
71_R,20250725,1
71_R,20250801,1
71_R,20250905,1
71_R,20250912,1
71_R,20250919,1
71_R,20250926,1
71_R,20251003,1
71_R,20251010,1
71_R,20251017,1
71_R,20251024,1
71_R,20251031,1
71_R,20251107,1
71_R,20251114,1
71_R,20251121,1
71_R,20251128,1
72_R,20250613,1
72_R,20250620,1
73_R,20250808,1
73_R,20250815,1
73_R,20250822,1
73_R,20250829,1
74_R,20250606,1
75_R,20250623,1
75_R,20250624,1
75_R,20250625,1
75_R,20250626,1
75_R,20250630,1
75_R,20250701,1
75_R,20250702,1
75_R,20250703,1
75_R,20250707,1
75_R,20250708,1
75_R,20250709,1
75_R,20250710,1
75_R,20250714,1
75_R,20250715,1
75_R,20250716,1
75_R,20250717,1
75_R,20250721,1
75_R,20250722,1
75_R,20250723,1
75_R,20250724,1
75_R,20250728,1
75_R,20250729,1
75_R,20250730,1
75_R,20250731,1
75_R,20250901,1
75_R,20250902,1
75_R,20250903,1
75_R,20250904,1
75_R,20250908,1
75_R,20250909,1
75_R,20250910,1
75_R,20250911,1
75_R,20250915,1
75_R,20250916,1
75_R,20250917,1
75_R,20250918,1
75_R,20250922,1
75_R,20250923,1
75_R,20250924,1
75_R,20250925,1
75_R,20250929,1
75_R,20250930,1
75_R,20251001,1
75_R,20251002,1
75_R,20251006,1
75_R,20251007,1
75_R,20251008,1
75_R,20251009,1
75_R,20251013,1
75_R,20251014,1
75_R,20251015,1
75_R,20251016,1
75_R,20251020,1
75_R,20251021,1
75_R,20251022,1
75_R,20251023,1
75_R,20251027,1
75_R,20251028,1
75_R,20251029,1
75_R,20251030,1
75_R,20251103,1
75_R,20251104,1
75_R,20251105,1
75_R,20251106,1
75_R,20251110,1
75_R,20251111,1
75_R,20251112,1
75_R,20251113,1
75_R,20251117,1
75_R,20251118,1
75_R,20251119,1
75_R,20251120,1
75_R,20251124,1
75_R,20251125,1
75_R,20251126,1
75_R,20251127,1
76_R,20250609,1
76_R,20250610,1
76_R,20250611,1
76_R,20250612,1
76_R,20250616,1
76_R,20250617,1
76_R,20250618,1
76_R,20250619,1
77_R,20250804,1
77_R,20250805,1
77_R,20250806,1
77_R,20250807,1
77_R,20250811,1
77_R,20250812,1
77_R,20250813,1
77_R,20250814,1
77_R,20250818,1
77_R,20250819,1
77_R,20250820,1
77_R,20250821,1
77_R,20250825,1
77_R,20250826,1
77_R,20250827,1
77_R,20250828,1
78_R,20250628,1
78_R,20250705,1
78_R,20250712,1
78_R,20250719,1
78_R,20250726,1
78_R,20250802,1
78_R,20250809,1
78_R,20250816,1
78_R,20250823,1
78_R,20250830,1
78_R,20250906,1
78_R,20250913,1
78_R,20250920,1
78_R,20250927,1
78_R,20251004,1
78_R,20251011,1
78_R,20251018,1
78_R,20251025,1
78_R,20251101,1
78_R,20251108,1
78_R,20251115,1
78_R,20251122,1
78_R,20251129,1
79_R,20250622,1
79_R,20250629,1
79_R,20250706,1
79_R,20250713,1
79_R,20250720,1
79_R,20250727,1
79_R,20250803,1
79_R,20250810,1
79_R,20250817,1
79_R,20250824,1
79_R,20250831,1
79_R,20250907,1
79_R,20250914,1
79_R,20250921,1
79_R,20250928,1
79_R,20251005,1
79_R,20251012,1
79_R,20251019,1
79_R,20251026,1
79_R,20251102,1
79_R,20251109,1
79_R,20251116,1
79_R,20251123,1
80_R,20250627,1
80_R,20250704,1
80_R,20250711,1
80_R,20250718,1
80_R,20250725,1
80_R,20250801,1
80_R,20250808,1
80_R,20250815,1
80_R,20250822,1
80_R,20250829,1
80_R,20250905,1
80_R,20250912,1
80_R,20250919,1
80_R,20250926,1
80_R,20251003,1
80_R,20251010,1
80_R,20251017,1
80_R,20251024,1
80_R,20251031,1
80_R,20251107,1
80_R,20251114,1
80_R,20251121,1
80_R,20251128,1
81_R,20250623,1
81_R,20250624,1
81_R,20250625,1
81_R,20250626,1
81_R,20250630,1
81_R,20250701,1
81_R,20250702,1
81_R,20250703,1
81_R,20250707,1
81_R,20250708,1
81_R,20250709,1
81_R,20250710,1
81_R,20250714,1
81_R,20250715,1
81_R,20250716,1
81_R,20251127,1
